Country,Player,Age,MP,Starts,Minutes,fullgmsplayed,Gls,Ast,G_PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G_A_90,G_PK_90,G_A_PK_90
Canada,Frank Sturing,24,2,2,180,2.00,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50
Canada,Liam Fraser,23,5,1,211,2.30,0,1,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43
Canada,Theo Corbeanu,19,3,1,119,1.30,1,0,1,0,0,0,0,0.76,0.00,0.76,0.76,0.76
Canada,Derek Cornelius,24,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Ricardo Ferreira,29,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Dayne St. Clair,24,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Ismaël Koné,19,2,1,57,0.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Zachary Brault-Guillard,23,2,0,65,0.70,1,0,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38
Canada,Ike Ugbo,23,4,0,32,0.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Charles-Andréas Brym,23,3,0,17,0.20,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Canada,Jacob Shaffelburg,22,2,0,12,0.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Squad Total,27,20,220,1800,20.00,49,32,45,4,5,31,1,2.45,1.60,4.05,2.25,3.85
Canada,Opponent Total,28,20,220,1800,20.00,8,6,7,1,1,45,0,0.40,0.30,0.70,0.35,0.65
Costa Rica,Francisco Calvo,29,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Anthony Contreras,22,1,1,90,1.00,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Óscar Duarte,32,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Keylor Navas,35,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Bryan Oviedo,31,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Yeltsin Tejeda,29,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Joel Campbell,29,1,1,89,1.00,1,0,1,0,0,0,0,1.01,0.00,1.01,1.01,1.01
Costa Rica,Celso Borges,33,1,1,78,0.90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Jewison Bennette,17,1,1,45,0.50,0,1,0,0,0,0,0,0.00,2.00,2.00,0.00,2.00
Costa Rica,Keysher Fuller,27,1,1,45,0.50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Gerson Torres,24,1,1,45,0.50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Carlos Martínez,22,1,0,45,0.50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Bryan Ruiz,36,1,0,45,0.50,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Kendall Waston,34,1,0,45,0.50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Costa Rica,Daniel Chacón,20,1,0,12,0.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
